                    ,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Price,My aver,Quantity,Invested,Current Cost,Return %,Return USD,,Target,URL,Industry,
USDT,1,1,"6,395.10","6,395.10","6,395.10",0,0,,,https://www.google.com/finance/quote/USDT-USD?hl=en,US,
USD Br,1,1,170,170,170,0,0,,,,US,
TQQQ,87.06,76.4,45,3438,3917,13.94,479,,,https://www.investing.com/etfs/proshares-trust-ultrapro-qqq,,
QQQ,745.63,643,45,28935,33553,15.96,4618,,,https://www.investing.com/etfs/powershares-qqqq,US,
XLV,146.36,147.11,49,7209,7171,-0.53,-38,,,https://www.investing.com/etfs/spdr---health-care,US,
SGOV,100.41,100.55,109,10960,10944,-0.15,-16,,,https://www.investing.com/etfs/sgov,US,
,,,,"50,712.00","62,150.10",22.56,"11,438.10",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,                                                                                                                       
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,Start,End,Start ball,End ball,Return,Return $,vs VOO%,Invested,% from top,
,,,2025 Aug,2026 July,48319,62150,28.62,13831,20.45,9795,6.06,
,,,2024 Aug,2025 July,33012,38524,16.69,5512,16,8500,,
,,,2023 Aug,2024 July,15659,24512,56.53,8853,19.05,15659,,
,,,,,,,,"28,196.23",,,,
